step,tci_time,mpo_time,step_time
122,8.17539691925,0.229865074158,8.414681911469
123,10.185485124588,0.230605125427,10.424467086792
124,7.587121963501,0.228580951691,7.821254014969
125,9.888143062592,0.234134197235,10.12774014473
126,7.979923009872,0.235218048096,8.221296072006
127,8.688560009003,0.238380908966,8.933403015137
128,8.861624002457,0.241406917572,9.108134031296
129,8.674877166748,0.237294912338,8.917366027832
130,8.455390930176,0.239194869995,8.702773809433
131,9.455062150955,0.240260839462,9.707267045975
132,9.858337879181,0.245015859604,10.109838008881
133,9.140952110291,0.248825073242,9.411647081375
134,11.204056978226,0.2505838871,11.460190057755
135,10.224004030228,0.259844064713,10.49362206459
136,11.177842855453,0.258093118668,11.444446086884
137,10.857867956162,0.259215831757,11.123740911484
138,11.548907995224,0.263059139252,11.834084033966
