bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,8,16,32,64,125,112,79,50,36,24,17,12,9,7,5,4,2
2,4,8,16,32,64,125,112,80,51,36,24,17,12,10,8,5,4,2
2,4,8,16,32,64,126,114,81,52,37,25,18,13,11,8,5,4,2
2,4,8,16,32,64,125,114,81,52,37,25,18,13,11,8,5,4,2
2,4,8,16,32,64,126,115,82,53,38,26,19,14,11,8,5,4,2
2,4,8,16,32,64,126,115,82,52,37,25,18,13,10,8,5,4,2
2,4,8,16,32,64,126,114,82,52,37,25,18,13,10,8,5,4,2
2,4,8,16,32,64,127,112,81,51,36,25,19,14,11,8,5,4,2
2,4,8,16,32,64,126,114,82,52,38,26,19,14,11,8,5,4,2
2,4,8,16,32,64,126,114,82,53,38,26,19,14,11,8,5,4,2
2,4,8,16,32,64,126,114,82,53,38,26,19,14,11,8,5,4,2
2,4,8,16,32,64,126,113,81,52,37,25,18,13,10,8,5,4,2
2,4,8,16,32,64,126,114,83,54,38,25,19,14,11,8,5,4,2
2,4,8,16,32,64,127,116,84,54,39,26,20,14,11,8,5,4,2
2,4,8,16,32,64,127,118,85,55,40,27,20,14,11,9,5,4,2
2,4,8,16,32,64,127,119,86,55,40,27,21,15,12,9,5,4,2
2,4,8,16,32,64,127,121,88,57,41,28,21,15,12,10,6,4,2
2,4,8,16,32,64,127,120,86,56,41,28,20,14,12,10,6,4,2
2,4,8,16,32,64,127,119,87,56,41,28,21,15,12,9,5,4,2
2,4,8,16,32,64,127,121,89,57,41,28,21,15,12,10,6,4,2
2,4,8,16,32,64,127,121,88,56,40,27,20,14,12,10,6,4,2
2,4,8,16,32,64,127,121,88,56,40,27,20,14,11,9,5,4,2
2,4,8,16,32,64,127,122,88,56,40,28,20,14,12,10,6,4,2
2,4,8,16,32,64,127,125,89,57,40,27,20,14,12,10,6,4,2
2,4,8,16,32,64,128,126,90,58,40,28,21,15,12,10,6,4,2
2,4,8,16,32,64,127,125,91,59,41,29,21,15,12,10,6,4,2
2,4,8,16,32,64,128,127,91,58,40,28,20,14,12,9,5,4,2
